Deuterium exports,Deuterium inventory,Fixed plant power,Fusion Fleet Gross Electric,Imports,Fusion Fleet Net Electric,Fusion Fleet Thermal Power,Fusion Fleet Magnet & station power,Salt Heating,Tritium exports,Fusion Fleet Tritium Inventory,Var plant power,,Fusion Fleet Fusion Power
-9747.843034,0,654.4367108,3885.400656,7.19E-16,1730.991534,9744.473405,2154.409122,32.84181361,1.34E-11,334365.566,812.0394505,,7495.748773
-6221.112485,0,654.4367108,2474.592534,8.13E-16,614.4168164,6217.778124,1860.175717,32.49968207,-1.04E-11,334984.0094,518.148177,,4782.906249
-4346.903495,0,654.4367108,1724.877678,8.12E-16,20.98647166,4343.587875,1703.891206,32.39769152,1.06E-11,335415.0526,361.9656563,,3341.221442
-4283.690964,0,654.4367108,1700.187049,7.17E-16,1.37E-09,4280.375977,1700.187049,33.9611924,-3.09E-11,335839.7752,356.6979981,,3292.596905
-4282.546762,0,654.4367108,1699.507301,8.12E-16,1.38E-09,4279.231786,1699.507301,33.376794,-3.93E-11,336264.3834,356.6026489,,3291.716759
-4283.386598,0,654.4367108,1700.006231,7.19E-16,1.39E-09,4280.071613,1700.006231,33.80573793,-8.34E-12,336689.0756,356.6726344,,3292.36278
-4282.574051,0,654.4367108,1699.523513,7.20E-16,1.37E-09,4279.259075,1699.523513,33.39073169,8.48E-12,337113.6865,356.6049229,,3291.73775
-4280.99611,0,654.4367108,1698.58609,8.15E-16,1.34E-09,4277.68115,1698.58609,32.5848022,-1.95E-11,337538.1397,356.4734291,,3290.523961
-4284.823485,0,654.4367108,1700.859857,7.23E-16,1.36E-09,4281.508486,1700.859857,34.53962451,-1.22E-11,337962.9755,356.7923738,,3293.468066
-4282.87807,0,654.4367108,1699.704125,7.26E-16,1.33E-09,4279.563091,1699.704125,33.54600885,-4.01E-11,338387.6169,356.6302576,,3291.971609
-4280.964163,0,654.4367108,1698.56711,7.27E-16,1.36E-09,4277.649203,1698.56711,32.56848515,-2.74E-11,338812.0668,356.4707669,,3290.499387
-4282.577579,0,654.4367108,1699.525609,7.28E-16,1.40E-09,4279.262602,1699.525609,33.39253345,-3.71E-11,339236.6781,356.6052169,,3291.740463
-4282.745416,0,654.4367108,1699.625318,7.29E-16,1.44E-09,4279.430438,1699.625318,33.47825607,-3.40E-11,339661.3062,356.6192032,,3291.869568
-4282.838984,0,654.4367108,1699.680904,7.28E-16,1.48E-09,4279.524005,1699.680904,33.52604558,-2.17E-11,340085.9436,356.6270004,,3291.941542
-4283.023502,0,654.4367108,1699.790523,7.27E-16,1.53E-09,4279.708521,1699.790523,33.62028771,-5.16E-12,340510.5995,356.6423768,,3292.083478
-4280.930644,0,654.4367108,1698.547198,8.19E-16,1.51E-09,4277.615685,1698.547198,32.55136577,-4.14E-12,340935.0461,356.4679737,,3290.473604
-4282.899187,0,654.4367108,1699.71667,7.25E-16,1.60E-09,4279.584208,1699.71667,33.5567942,-3.38E-11,341359.6895,356.6320173,,3291.987852
-4283.061268,0,654.4367108,1699.812959,7.24E-16,1.61E-09,4279.746287,1699.812959,33.63957673,1.68E-11,341784.3492,356.6455239,,3292.112529
-4281.329226,0,654.4367108,1698.783987,7.23E-16,1.63E-09,4278.014262,1698.783987,32.7549404,5.30E-12,342208.8356,356.5011885,,3290.780202
-4280.183393,0,654.4367108,1698.103271,8.15E-16,1.59E-09,4276.868441,1698.103271,32.169709,3.02E-12,342633.2075,356.4057034,,3289.898801
-4281.727786,0,654.4367108,1699.020764,7.21E-16,1.65E-09,4278.412818,1699.020764,32.95850384,-1.72E-11,343057.7338,356.5344015,,3291.086783
-4283.082728,0,654.4367108,1699.825708,8.15E-16,1.57E-09,4279.767747,1699.825708,33.65053728,-2.80E-11,343482.3956,356.6473122,,3292.129036
-4281.973176,0,654.4367108,1699.166545,7.21E-16,1.62E-09,4278.658206,1699.166545,33.08383634,-2.25E-11,343906.9465,356.5548505,,3291.275543
-4282.707382,0,654.4367108,1699.602722,8.14E-16,1.55E-09,4279.392404,1699.602722,33.45882996,-1.49E-11,344331.5708,356.6160337,,3291.840311
-4283.31886,0,654.4367108,1699.965989,7.19E-16,1.57E-09,4280.003877,1699.965989,33.77114118,-1.08E-11,344756.2562,356.6669897,,3292.310674
-4282.747235,0,654.4367108,1699.626398,8.12E-16,1.52E-09,4279.432257,1699.626398,33.47918513,9.28E-12,345180.8844,356.6193548,,3291.870967
-4282.015181,0,654.4367108,1699.191499,7.18E-16,1.53E-09,4278.70021,1699.191499,33.10529,-1.49E-11,345605.4395,356.5583508,,3291.307854
-4281.412241,0,654.4367108,1698.833305,8.12E-16,1.45E-09,4278.097277,1698.833305,32.79734026,-3.64E-11,346029.9342,356.5081064,,3290.844059
-4284.36024,0,654.4367108,1700.584652,7.18E-16,1.50E-09,4281.045246,1700.584652,34.30302328,-7.66E-12,346454.7237,356.7537705,,3293.111727
-4284.20913,0,654.4367108,1700.494881,7.19E-16,1.48E-09,4280.894138,1700.494881,34.22584439,1.66E-11,346879.4982,356.7411781,,3292.99549
-4281.691705,0,654.4367108,1698.999329,8.15E-16,1.41E-09,4278.376738,1698.999329,32.94007574,-2.24E-11,347304.0209,356.5313948,,3291.059029
-4282.103525,0,654.4367108,1699.243983,7.21E-16,1.46E-09,4278.788554,1699.243983,33.15041182,-1.55E-11,347728.5848,356.5657128,,3291.375811
